fulldate,daily_revenue,cumulative_revenue
2015-01-03,16.45,16.45
2015-01-04,288.06,304.51
2015-01-05,19.54,324.05
2015-01-06,4407.1,4731.15
2015-01-07,87.16,4818.31
2015-01-09,40.54,4858.85
2015-01-10,54.83,4913.68
2015-01-11,9.94,4923.62
2015-01-13,3553.8,8477.42
2015-01-14,61.96,8539.38
2015-01-15,149.95,8689.33
2015-01-16,299.96,8989.29
2015-01-18,64.86,9054.15
2015-01-19,378.59,9432.74
2015-01-20,2673.87,12106.61
2015-01-23,40.08,12146.69
2015-01-26,1097.25,13243.94
2015-01-27,426.67,13670.61
2015-01-28,3.93,13674.54
2015-01-30,240.5,13915.04
2015-01-31,290.67,14205.71
2015-02-01,468.9,14674.61
2015-02-02,211.65,14886.26
2015-02-03,97.11,14983.37
2015-02-04,134.39,15117.76
2015-02-06,330.51,15448.27
2015-02-07,180.32,15628.59
2015-02-08,14.56,15643.15
2015-02-11,2043.4,17686.55
2015-02-12,129.57,17816.12
2015-02-14,576.73,18392.85
2015-02-15,21.36,18414.21
2015-02-16,9.04,18423.25
2015-02-17,54.21,18477.46
2015-02-18,37.78,18515.24
2015-02-20,95.59,18610.83
2015-02-21,8.85,18619.68
2015-02-22,19.44,18639.12
2015-02-23,11.37,18650.49
2015-02-24,55.68,18706.17
2015-02-27,19.46,18725.63
2015-03-01,2203.15,20928.78
2015-03-02,47.76,20976.54
2015-03-03,1345.89,22322.43
2015-03-04,370.45,22692.88
2015-03-05,705.56,23398.44
2015-03-07,1561.06,24959.5
2015-03-10,741.96,25701.46
2015-03-11,918.31,26619.77
2015-03-14,2108.56,28728.33
2015-03-15,370.79,29099.12
2015-03-16,471.92,29571.04
2015-03-17,3960.36,33531.4
2015-03-18,28106.73,61638.13
2015-03-19,590.77,62228.9
2015-03-21,4109.82,66338.72
2015-03-22,464.09,66802.81
2015-03-23,945.06,67747.87
2015-03-24,65.38,67813.25
2015-03-25,459.15,68272.4
2015-03-26,145.13,68417.53
2015-03-28,1493.22,69910.75
2015-03-29,890.84,70801.59
2015-03-30,1170.32,71971.91
2015-03-31,1959.55,73931.46
2015-04-01,119.89,74051.35
2015-04-02,1458.56,75509.91
2015-04-04,475.84,75985.75
2015-04-05,5179.74,81165.49
2015-04-06,1650.68,82816.17
2015-04-07,1021.17,83837.34
2015-04-08,1958.75,85796.09
2015-04-11,1915.23,87711.32
2015-04-12,1872.45,89583.77
2015-04-13,638.58,90222.35
2015-04-15,294.72,90517.07
2015-04-16,39.07,90556.14
2015-04-18,1020.54,91576.68
2015-04-19,205.47,91782.15
2015-04-20,1250.45,93032.6
2015-04-21,845.36,93877.96
2015-04-22,257.75,94135.71
2015-04-23,643.98,94779.69
2015-04-25,2380.0,97159.69
2015-04-26,282.57,97442.26
2015-04-28,2578.48,100020.74
2015-04-29,768.84,100789.58
2015-04-30,1048.74,101838.32
2015-05-02,506.12,102344.44
2015-05-03,72.64,102417.08
2015-05-04,187.43,102604.51
2015-05-05,260.98,102865.49
2015-05-06,254.46,103119.95
2015-05-07,1091.35,104211.3
2015-05-08,1799.97,106011.27
2015-05-09,394.48,106405.75
2015-05-10,2343.8,108749.55
2015-05-11,1642.79,110392.34
2015-05-12,734.85,111127.19
2015-05-13,898.38,112025.57
2015-05-14,310.88,112336.45
2015-05-16,289.28,112625.73
2015-05-17,91.68,112717.41
2015-05-18,944.97,113662.38
2015-05-19,91.62,113754.0
2015-05-20,320.1,114074.1
2015-05-21,4264.32,118338.42
2015-05-22,180.93,118519.35
2015-05-23,323.76,118843.11
2015-05-24,116.28,118959.39
2015-05-25,119.54,119078.93
2015-05-26,1325.71,120404.64
2015-05-27,2157.39,122562.03
2015-05-28,221.97,122784.0
2015-05-30,1924.92,124708.92
2015-05-31,773.7,125482.62
2015-06-01,5188.52,130671.14
2015-06-02,738.6,131409.74
2015-06-03,531.16,131940.9
2015-06-04,456.27,132397.17
2015-06-06,1374.0,133771.17
2015-06-07,281.4,134052.57
2015-06-08,2501.26,136553.83
2015-06-09,5462.99,142016.82
2015-06-10,491.55,142508.37
2015-06-13,14.52,142522.89
2015-06-14,212.94,142735.83
2015-06-15,942.97,143678.8
2015-06-16,763.79,144442.59
2015-06-17,3356.49,147799.08
2015-06-18,139.8,147938.88
2015-06-20,1828.95,149767.83
2015-06-21,4107.45,153875.28
2015-06-22,1975.5,155850.78
2015-06-23,109.5,155960.28
2015-06-24,4.27,155964.55
2015-06-25,792.76,156757.31
2015-06-27,616.14,157373.45
2015-06-28,1645.8,159019.25
2015-06-29,46.68,159065.93
2015-06-30,739.63,159805.56
2015-07-01,601.02,160406.58
2015-07-02,79.56,160486.14
2015-07-04,247.41,160733.55
2015-07-05,1444.11,162177.66
2015-07-06,1038.47,163216.13
2015-07-07,241.2,163457.33
2015-07-08,763.07,164220.4
2015-07-09,265.51,164485.91
2015-07-11,2022.36,166508.27
2015-07-12,1960.02,168468.29
2015-07-13,351.22,168819.51
2015-07-14,292.58,169112.09
2015-07-15,9.51,169121.6
2015-07-18,273.04,169394.64
2015-07-19,461.33,169855.97
2015-07-20,2285.77,172141.74
2015-07-21,1961.48,174103.22
2015-07-22,1348.34,175451.56
2015-07-23,2613.19,178064.75
2015-07-25,8341.29,186406.04
2015-07-26,5039.99,191446.03
2015-07-27,580.06,192026.09
2015-07-28,193.15,192219.24
2015-07-30,1367.84,193587.08
2015-08-01,228.32,193815.4
2015-08-02,886.28,194701.68
2015-08-03,477.99,195179.67
2015-08-04,2743.15,197922.82
2015-08-05,2408.72,200331.54
2015-08-06,262.89,200594.43
2015-08-08,3955.65,204550.08
2015-08-09,3605.68,208155.76
2015-08-11,451.62,208607.38
2015-08-12,1545.73,210153.11
2015-08-15,337.5,210490.61
2015-08-16,853.09,211343.7
2015-08-17,500.34,211844.04
2015-08-19,1439.11,213283.15
2015-08-20,1838.72,215121.87
2015-08-22,23.1,215144.97
2015-08-23,565.22,215710.19
2015-08-24,59.74,215769.93
2015-08-25,1451.65,217221.58
2015-08-26,366.81,217588.39
2015-08-27,2070.13,219658.52
2015-08-29,832.33,220490.85
2015-08-30,121.24,220612.09
2015-08-31,92.52,220704.61
2015-09-01,469.43,221174.04
2015-09-02,3254.15,224428.19
2015-09-03,22.08,224450.27
2015-09-05,296.3,224746.57
2015-09-06,100.36,224846.93
2015-09-07,3523.88,228370.81
2015-09-08,14228.42,242599.23
2015-09-09,4043.59,246642.82
2015-09-10,1855.23,248498.05
2015-09-11,127.95,248626.0
2015-09-12,4904.66,253530.66
2015-09-13,1275.41,254806.07
2015-09-14,5023.72,259829.79
2015-09-15,133.44,259963.23
2015-09-16,33.55,259996.78
2015-09-17,820.52,260817.3
2015-09-19,9338.64,270155.94
2015-09-20,5335.97,275491.91
2015-09-21,2679.64,278171.55
2015-09-22,1240.27,279411.82
2015-09-23,10662.33,290074.15
2015-09-24,211.96,290286.11
2015-09-25,354.88,290640.99
2015-09-26,1326.79,291967.78
2015-09-27,773.44,292741.22
2015-09-28,490.3,293231.52
2015-09-29,8109.07,301340.59
2015-09-30,987.54,302328.13
2015-10-01,4.71,302332.84
2015-10-02,598.15,302930.99
2015-10-03,862.68,303793.67
2015-10-04,728.75,304522.42
2015-10-05,191.9,304714.32
2015-10-06,494.71,305209.03
2015-10-07,237.36,305446.39
2015-10-08,147.39,305593.78
2015-10-09,249.36,305843.14
2015-10-10,2049.37,307892.51
2015-10-11,1381.16,309273.67
2015-10-12,58.53,309332.2
2015-10-13,2212.18,311544.38
2015-10-14,4525.49,316069.87
2015-10-15,206.72,316276.59
2015-10-16,194.32,316470.91
2015-10-17,136.07,316606.98
2015-10-18,3134.91,319741.89
2015-10-19,641.1,320382.99
2015-10-20,1501.1,321884.09
2015-10-21,1356.6,323240.69
2015-10-22,223.81,323464.5
2015-10-24,56.49,323520.99
2015-10-25,103.89,323624.88
2015-10-26,447.88,324072.76
2015-10-27,22.32,324095.08
2015-10-28,1510.58,325605.66
2015-10-29,2813.81,328419.47
2015-10-31,5362.03,333781.5
2015-11-01,4637.83,338419.33
2015-11-02,2126.36,340545.69
2015-11-03,2784.17,343329.86
2015-11-04,6693.75,350023.61
2015-11-05,1694.57,351718.18
2015-11-07,1302.45,353020.63
2015-11-08,333.58,353354.21
